Date,Step-Count,Distance (m),Calories-Burned-(calx10)
2023-09-13,8553,3850.86837,3200.67
2023-09-14,10157,4458.02403,3868.15
2023-09-15,19499,9091.697201,7996.16
2023-09-16,17183,7007.971438,4159.9
2023-09-17,2761,1252.39106,2150.18
2023-09-18,9832,4693.759031,5544.04
2023-09-19,7703,3535.40798,5124.76
2023-09-20,10857,4935.142983,5468.44
2023-09-21,23926,11149.08268,7917.86
2023-09-22,16636,7509.448787,6398.53
2023-09-23,1191,521.49889,1237.45
2023-09-24,2946,1350.56571,2676.27
2023-09-25,17851,8210.71765199999,6097.34
2023-09-26,7034,3101.02481,2795.62
2023-09-27,21083,9752.60272,7432.21
2023-09-28,16443,7270.96662499999,5275.57
2023-09-29,11801,5604.64581,3019.05
2023-09-30,15691,7109.76453000001,5806.92
2023-10-01,4332,1849.27457,40.86
2023-10-02,6545,2986.79225,3885.51
2023-10-03,14473,6801.17231,5691.38
2023-10-04,1805,789.6172,0
2023-10-05,11028,4937.399546,3678.33
2023-10-06,16912,7752.471455,6146.85
2023-10-07,3489,1440.86234,1082.37
2023-10-08,1348,569.96618,0
2023-10-09,14864,6888.829106,4575.6
2023-10-10,11219,5112.568426,4632.33
2023-10-11,5017,2298.39229,2909.91
2023-10-12,13697,6232.393982,5942.9
2023-10-13,9556,4926.59034,4908.92
2023-10-14,6674,2910.2184,232.97
2023-10-15,11627,5316.60031,2381.89
2023-10-16,6140,3643.51152,2746.56
2023-10-17,12794,5768.81286200001,5275.3
2023-10-18,13126,5893.95814,3711.74
2023-10-19,3415,1518.49655,994.52
2023-10-20,15482,8673.61884,5760.8
2023-10-21,10777,4127.271554,2510.73
2023-10-22,6358,2750.842879,1724.51
2023-10-23,8990,4134.2914,5050.75
2023-10-24,20064,9962.76711,6968.94
2023-10-25,12632,5723.767626,4321.03
2023-10-26,5119,2343.39892,3137.48
2023-10-27,10083,4635.65049,4246.37
2023-10-28,13650,6132.20454,5396.32
2023-10-29,19220,9236.557632771,6530.93
2023-10-30,6813,3103.05274,4500.05
2023-10-31,16698,7460.68891,5164.49
2023-11-01,11707,5260.02001,4201.38
2023-11-02,4397,1999.69635,2099.99
2023-11-03,12988,5905.162581,5264.55
2023-11-04,17276,7995.52504199999,6822.67
2023-11-05,17091,7666.485701,4402.74
2023-11-06,11682,5478.13774,4307.64
2023-11-07,18244,8111.22699,4171.79
2023-11-08,10332,4603.66462,4349.24
2023-11-09,8390,3827.485938,4669.35
2023-11-10,408,161.40478,0
2023-11-11,12166,5507.08732,4442.4
2023-11-12,13177,5919.64501,5765.73
2023-11-13,4120,1911.16244,1899.88
2023-11-14,18326,8114.787815,4560.4
2023-11-15,11532,5187.408007,4400.3
2023-11-16,1865,816.03872,2055.96
